iter	Passed	Remaining
399	54896	82344
400	55037	82213
401	55175	82076
402	55320	81950
403	55465	81825
404	55599	81683
405	55725	81529
406	55856	81383
407	55987	81236
408	56121	81095
409	56260	80960
410	56392	80815
411	56530	80679
412	56661	80533
413	56786	80378
414	56922	80240
415	57060	80104
416	57196	79964
417	57321	79811
418	57450	79662
419	57585	79522
420	57724	79388
421	57851	79237
422	57986	79096
423	58114	78948
424	58246	78803
425	58379	78662
426	58507	78513
427	58633	78361
428	58761	78211
429	58889	78062
430	59025	77925
431	59155	77778
432	59286	77634
433	59412	77482
434	59542	77336
435	59669	77187
436	59800	77042
437	59933	76900
438	60068	76762
439	60198	76616
440	60332	76476
441	60461	76328
442	60599	76194
443	60736	76056
444	60866	75912
445	60998	75768
446	61126	75621
447	61251	75470
448	61391	75337
449	61530	75203
450	61673	75074
451	61811	74939
452	61952	74808
453	62088	74670
454	62218	74525
455	62352	74385
456	62484	74242
457	62616	74100
458	62764	73977
459	62899	73838
460	63044	73711
461	63180	73573
462	63314	73433
463	63442	73287
464	63575	73146
465	63707	73004
466	63849	72873
467	63989	72740
468	64128	72605
469	64259	72463
470	64392	72322
471	64519	72174
472	64649	72029
473	64774	71880
474	64914	71747
475	65054	71614
476	65194	71481
477	65325	71338
478	65457	71197
479	65608	71076
480	65751	70945
481	65910	70833
482	66076	70728
483	66222	70600
484	66349	70453
485	66476	70306
486	66625	70182
487	66784	70068
488	66940	69951
489	67103	69842
490	67261	69727
491	67427	69620
492	67603	69522
493	67755	69401
494	67888	69260
495	68015	69112
496	68144	68967
497	68272	68820
498	68404	68679
499	68546	68546
500	68680	68405
501	68808	68260
502	68939	68117
503	69064	67968
504	69201	67830
505	69352	67707
506	69516	67596
507	69675	67481
508	69833	67363
509	69999	67254
510	70165	67144
511	70328	67032
512	70477	66905
513	70634	66786
514	70798	66674
515	70962	66562
516	71117	66440
517	71279	66325
518	71444	66213
519	71574	66069
520	71707	65926
521	71846	65790
522	71988	65656
523	72119	65512
524	72256	65375
525	72390	65234
526	72521	65090
527	72653	64948
528	72782	64802
529	72930	64673
530	73065	64534
531	73194	64389
532	73331	64251
533	73474	64118
534	73610	63979
535	73743	63837
536	73871	63691
537	73998	63545
538	74130	63402
539	74256	63255
540	74384	63110
541	74512	62964
542	74651	62828
543	74782	62685
544	74920	62548
545	75070	62420
546	75209	62284
547	75341	62143
548	75475	62002
549	75598	61853
550	75733	61713
551	75860	61568
552	75989	61423
553	76118	61279
554	76255	61141
555	76399	61009
556	76560	60891
557	76715	60767
558	76882	60653
559	77049	60539
560	77216	60424
561	77379	60306
562	77548	60193
563	77711	60074
564	77861	59946
565	77987	59799
566	78119	59657
567	78253	59517
568	78387	59375
569	78511	59228
570	78638	59082
571	78768	58938
572	78902	58798
573	79089	58696
574	79220	58554
575	79348	58409
576	79476	58264
577	79637	58143
578	79763	57997
579	79912	57867
580	80042	57723
581	80172	57581
582	80303	57438
583	80436	57296
584	80582	57165
585	80733	57036
586	80882	56907
587	81021	56770
588	81167	56637
589	81314	56506
590	81453	56369
591	81599	56237
592	81742	56102
593	81886	55969
594	82028	55834
595	82166	55697
596	82299	55555
597	82429	55412
598	82558	55268
599	82690	55126
600	82824	54986
601	82958	54846
602	83086	54702
603	83216	54559
604	83347	54417
605	83482	54277
606	83610	54133
607	83746	53994
608	83883	53856
609	84019	53717
610	84147	53573
611	84281	53433
612	84408	53288
