iter	Logloss
0	0.5355707232
1	0.4286026327
2	0.3681608225
3	0.3211805746
4	0.2936514514
5	0.274044105
6	0.2468095496
7	0.237381368
8	0.2225337194
9	0.2127035449
10	0.2102945028
11	0.2039281364
12	0.1978421306
13	0.190409139
14	0.1893204041
15	0.188559294
16	0.1877169087
17	0.1862438838
18	0.1831635073
19	0.182203992
20	0.1815553867
21	0.1790141062
22	0.1784130489
23	0.174971331
24	0.1745284567
25	0.1741982665
26	0.1739423163
27	0.1731369268
28	0.1728423626
29	0.1716229433
30	0.1704556347
31	0.1701054967
32	0.169534244
33	0.1691145254
34	0.1682185147
35	0.1677261729
36	0.1674386023
37	0.1671789255
38	0.1660549614
39	0.1654851776
40	0.1651638576
41	0.1648315067
42	0.1645176855
43	0.1639111627
44	0.1636341671
45	0.1632448476
46	0.1629904114
47	0.1627751524
48	0.1624462455
49	0.1624315344
50	0.1622025975
51	0.1618343447
52	0.1615775704
53	0.1613002341
54	0.1609911678
55	0.1607732079
56	0.1606185344
57	0.1601871352
58	0.1600580044
59	0.1598687675
60	0.1596587806
61	0.1594220532
62	0.1592372379
63	0.1587391525
64	0.1584338633
65	0.1582402998
66	0.1579589166
67	0.1575403898
68	0.1571687609
69	0.1567821858
70	0.156170158
71	0.1559385984
72	0.1556717233
73	0.1552412619
74	0.1550442987
75	0.1547863063
76	0.1545771551
77	0.1541429918
78	0.1538979597
79	0.1535683158
80	0.1531573728
81	0.1528864638
82	0.1527049437
83	0.1524634154
84	0.15220067
85	0.1520537576
86	0.151752054
87	0.1515278866
88	0.1512774106
89	0.1511502356
90	0.1509279506
91	0.1506966257
92	0.1505178386
93	0.1503942437
94	0.1501032568
95	0.1498695509
96	0.1496226045
97	0.1494587592
98	0.1492573739
99	0.1490309197
100	0.1488020531
101	0.1486189932
102	0.1483864393
103	0.1482488215
104	0.1479654684
105	0.1477961195
106	0.1474814963
107	0.1472401504
108	0.1470246658
109	0.1468783693
110	0.1466060479
111	0.1464618031
112	0.1461636349
113	0.1459849228
114	0.1458141902
115	0.1456926855
116	0.1455416042
117	0.1452409781
118	0.145125375
119	0.144916165
120	0.1446922922
121	0.1445849172
122	0.144373798
123	0.1441599122
124	0.1439438329
125	0.1437177314
126	0.1435333628
127	0.1433952071
128	0.1432397094
129	0.1430255173
130	0.1429022793
131	0.142806878
132	0.1420220274
133	0.1417572729
134	0.1416572735
135	0.1412991806
136	0.1407519789
137	0.1405598142
138	0.1404142677
139	0.1401617893
140	0.1400197378
141	0.1398325704
142	0.1396101912
143	0.1393286541
144	0.1391877556
145	0.1391148578
146	0.1389137579
147	0.13875787
148	0.1386195382
149	0.1384754926
150	0.1383734298
151	0.1381874418
152	0.1380103982
153	0.1376281799
154	0.1373650354
155	0.1371676018
156	0.1370297835
157	0.1367998111
158	0.1366793167
159	0.1363944051
160	0.1361759259
161	0.1360253552
162	0.1358229879
163	0.1356074611
164	0.1354087728
165	0.1352041589
166	0.1349936391
167	0.1348123412
168	0.1346631802
169	0.1345753288
170	0.1343858294
171	0.1341908054
172	0.1339679078
173	0.1338272009
174	0.1336025826
175	0.1334391566
176	0.1332412597
177	0.1331290477
178	0.1330063312
179	0.1326800159
180	0.1325863709
181	0.1325082418
182	0.1323805025
183	0.1322285275
184	0.1321183848
185	0.1320139973
186	0.1318216462
187	0.1316696751
188	0.1313233624
189	0.1311291935
190	0.1309453777
191	0.1308376409
192	0.130708919
193	0.1306102503
194	0.1305981653
195	0.1304626322
196	0.1302569061
197	0.1300647917
198	0.1298161573
199	0.1296764658
200	0.1295957079
201	0.1295011823
202	0.1293293319
203	0.1291267008
204	0.1290240447
205	0.1288329924
206	0.1286562816
207	0.1284676535
208	0.1282588106
209	0.1280655761
210	0.1279519734
211	0.1277996448
212	0.1277323812
213	0.1274718539
214	0.1273164362
215	0.1271910425
216	0.1270102124
217	0.1268507359
218	0.1267286535
219	0.1265894306
220	0.126437907
221	0.1262567617
222	0.1260732914
223	0.1259368801
224	0.1258231039
225	0.1257278605
226	0.1256593232
227	0.1255337536
228	0.1254323806
229	0.1253059102
230	0.125106132
231	0.1249780894
232	0.1248476666
233	0.1247619918
234	0.1246443892
235	0.1245477236
236	0.1244251385
237	0.1243196934
238	0.124218549
239	0.1240865376
240	0.1239611282
241	0.1238858729
242	0.1236690215
243	0.1234596683
244	0.1233178753
245	0.1231203006
246	0.1229891417
247	0.1228870827
248	0.1227403667
249	0.1225627057
250	0.1224314412
251	0.1222900544
252	0.1221373147
253	0.1219806246
254	0.1218613966
255	0.1217490745
256	0.1215691921
257	0.1213805011
258	0.1212240965
259	0.1209476619
260	0.1208903019
261	0.1207788047
262	0.1206553518
263	0.1205087338
264	0.1204218103
265	0.1202454417
266	0.1201605946
267	0.1200617456
268	0.1199000449
269	0.1197572523
270	0.1196209455
271	0.1195164209
272	0.1193250582
273	0.1192061108
274	0.119069497
275	0.118983826
276	0.1188260089
277	0.118675491
278	0.1185205393
279	0.1184099615
280	0.1183150418
281	0.1181908726
282	0.1180473722
283	0.1179275274
284	0.117864927
285	0.1177422848
286	0.1175635138
287	0.1174090184
288	0.1173202113
289	0.1171407288
290	0.1170091761
291	0.1169196231
292	0.1167301503
293	0.1165621334
294	0.1164360413
295	0.1163711061
296	0.1162191171
297	0.1160781509
298	0.1159868476
299	0.1159214046
